"CAND_ID","CAND_ELECTION_YR","FEC_ELECTION_YR","CMTE_ID","CMTE_TP","CMTE_DSGN","LINKAGE_ID","robin_id","display_name","source","target","type","id","dataset","dataset_id","name"
"H0SC01428","2020","2020","C00723155","H","P","230340","1583206034204965806","H0SC01428","H0SC01428","C00723155",,"230340","fec","230340","H0SC01428"
"H0SC01436","2020","2020","C00734293","H","P","231610","1583206034204565587","H0SC01436","H0SC01436","C00734293",,"231610","fec","231610","H0SC01436"
"H0SC02061","2020","2020","C00701052","H","P","226928","1583206034204275043","H0SC02061","H0SC02061","C00701052",,"226928","fec","226928","H0SC02061"
"H0SC02079","2020","2020","C00693903","H","P","227028","1583206034204607737","H0SC02079","H0SC02079","C00693903",,"227028","fec","227028","H0SC02079"
"H0SC02087","2020","2020","C00723221","H","P","230132","1583206034204429101","H0SC02087","H0SC02087","C00723221",,"230132","fec","230132","H0SC02087"
"H0SC03077","2020","2020","C00460550","H","P","222613","1583206034204649971","H0SC03077","H0SC03077","C00460550",,"222613","fec","222613","H0SC03077"
"H0SC04240","2010","2020","C00462234","H","P","227089","1583206034204907122","H0SC04240","H0SC04240","C00462234",,"227089","fec","227089","H0SC04240"
"H0SC04257","2018","2020","C00462523","H","P","222547","158320603420481929","H0SC04257","H0SC04257","C00462523",,"222547","fec","222547","H0SC04257"
"H0SC04281","2020","2020","C00710665","H","P","228322","1583206034204961487","H0SC04281","H0SC04281","C00710665",,"228322","fec","228322","H0SC04281"
"H0SC05049","2020","2020","C00729699","H","P","230968","1583206034204797860","H0SC05049","H0SC05049","C00729699",,"230968","fec","230968","H0SC05049"
"H0SC05056","2020","2020","C00736694","H","P","231933","1583206034205824861","H0SC05056","H0SC05056","C00736694",,"231933","fec","231933","H0SC05056"
"H0SC07011","2020","2020","C00692053","H","A","224872","1583206034205881691","H0SC07011","H0SC07011","C00692053",,"224872","fec","224872","H0SC07011"
"H0SC07011","2020","2020","C00722033","H","P","229979","1583206034205690786","H0SC07011","H0SC07011","C00722033",,"229979","fec","229979","H0SC07011"
"H0SC07029","2020","2020","C00732883","H","P","231432","1583206034205757845","H0SC07029","H0SC07029","C00732883",,"231432","fec","231432","H0SC07029"
"H0SD00054","2018","2020","C00476853","H","P","222672","1583206034205635050","H0SD00054","H0SD00054","C00476853",,"222672","fec","222672","H0SD00054"
"H0SD01060","2020","2020","C00691519","H","P","225248","1583206034205799038","H0SD01060","H0SD01060","C00691519",,"225248","fec","225248","H0SD01060"
"H0SD01078","2020","2020","C00715961","H","P","229032","1583206034205820633","H0SD01078","H0SD01078","C00715961",,"229032","fec","229032","H0SD01078"
"H0SD01086","2020","2020","C00717652","H","P","229461","1583206034205501888","H0SD01086","H0SD01086","C00717652",,"229461","fec","229461","H0SD01086"
"H0SD01094","2020","2020","C00736561","H","P","231956","1583206034205434273","H0SD01094","H0SD01094","C00736561",,"231956","fec","231956","H0SD01094"
"H0TN01043","2020","2020","C00693739","H","P","226256","158320603420568978","H0TN01043","H0TN01043","C00693739",,"226256","fec","226256","H0TN01043"
"H0TN01050","2020","2020","C00715557","H","P","229001","1583206034205217032","H0TN01050","H0TN01050","C00715557",,"229001","fec","229001","H0TN01050"
"H0TN01068","2020","2020","C00723254","H","P","230133","158320603420564119","H0TN01068","H0TN01068","C00723254",,"230133","fec","230133","H0TN01068"
"H0TN01076","2020","2020","C00733881","H","P","231611","1583206034205828011","H0TN01076","H0TN01076","C00733881",,"231611","fec","231611","H0TN01076"
"H0TN01076","2020","2020","C00733907","H","P","231612","1583206034205728890","H0TN01076","H0TN01076","C00733907",,"231612","fec","231612","H0TN01076"
"H0TN01084","2020","2020","C00738930","H","P","232302","158320603420544057","H0TN01084","H0TN01084","C00738930",,"232302","fec","232302","H0TN01084"
"H0TN01092","2020","2020","C00739953","H","P","232381","1583206034205232924","H0TN01092","H0TN01092","C00739953",,"232381","fec","232381","H0TN01092"
"H0TN02090","2020","2020","C00739896","H","P","232405","1583206034205276945","H0TN02090","H0TN02090","C00739896",,"232405","fec","232405","H0TN02090"
"H0TN03254","2020","2020","C00461822","H","P","222598","1583206034205790614","H0TN03254","H0TN03254","C00461822",,"222598","fec","222598","H0TN03254"
"H0TN03445","2020","2020","C00738468","H","P","232234","1583206034205413077","H0TN03445","H0TN03445","C00738468",,"232234","fec","232234","H0TN03445"
"H0TN04195","2020","2020","C00493783","H","J","222639","1583206034205763633","H0TN04195","H0TN04195","C00493783",,"222639","fec","222639","H0TN04195"
"H0TN04195","2020","2020","C00464073","H","P","222599","1583206034205326258","H0TN04195","H0TN04195","C00464073",,"222599","fec","222599","H0TN04195"
"H0TN04260","2020","2020","C00707331","H","P","227895","158320603420597960","H0TN04260","H0TN04260","C00707331",,"227895","fec","227895","H0TN04260"
"H0TN05317","2020","2020","C00718551","H","P","229390","158320603420546099","H0TN05317","H0TN05317","C00718551",,"229390","fec","229390","H0TN05317"
"H0TN05325","2020","2020","C00723585","H","P","230179","1583206034205421429","H0TN05325","H0TN05325","C00723585",,"230179","fec","230179","H0TN05325"
"H0TN05333","2020","2020","C00726646","H","P","230566","158320603420551330","H0TN05333","H0TN05333","C00726646",,"230566","fec","230566","H0TN05333"
"H0TN05341","2020","2020","C00730887","H","P","231123","1583206034205550006","H0TN05341","H0TN05341","C00730887",,"231123","fec","231123","H0TN05341"
"H0TN05366","2020","2020","C00737668","H","P","232068","1583206034205829093","H0TN05366","H0TN05366","C00737668",,"232068","fec","232068","H0TN05366"
"H0TN05374","2020","2020","C00737783","H","P","232103","1583206034205438347","H0TN05374","H0TN05374","C00737783",,"232103","fec","232103","H0TN05374"
"H0TN06224","2012","2020","C00519546","H","P","223286","1583206034205581423","H0TN06224","H0TN06224","C00519546",,"223286","fec","223286","H0TN06224"
"H0TN06240","2014","2020","C00540633","H","P","223240","158320603420583196","H0TN06240","H0TN06240","C00540633",,"223240","fec","223240","H0TN06240"
"H0TN06257","2018","2020","C00472878","H","P","222590","1583206034205119641","H0TN06257","H0TN06257","C00472878",,"222590","fec","222590","H0TN06257"
"H0TN07255","2020","2020","C00721761","H","P","229916","158320603420521479","H0TN07255","H0TN07255","C00721761",,"229916","fec","229916","H0TN07255"
"H0TN07263","2020","2020","C00738765","H","P","232260","1583206034205297530","H0TN07263","H0TN07263","C00738765",,"232260","fec","232260","H0TN07263"
"H0TN08246","2016","2020","C00493783","H","J","222638","1583206034205763343","H0TN08246","H0TN08246","C00493783",,"222638","fec","222638","H0TN08246"
"H0TN47012","2020","2020","C00709352","H","P","228152","1583206034205515795","H0TN47012","H0TN47012","C00709352",,"228152","fec","228152","H0TN47012"
"H0TX01108","2020","2020","C00718270","H","P","229358","1583206034205326650","H0TX01108","H0TX01108","C00718270",,"229358","fec","229358","H0TX01108"
"H0TX02080","2020","2020","C00696146","H","P","225778","1583206034205540344","H0TX02080","H0TX02080","C00696146",,"225778","fec","225778","H0TX02080"
"H0TX02098","2020","2020","C00725838","H","P","230460","1583206034205978367","H0TX02098","H0TX02098","C00725838",,"230460","fec","230460","H0TX02098"
"H0TX02106","2020","2020","C00730408","H","P","231036","158320603420516411","H0TX02106","H0TX02106","C00730408",,"231036","fec","231036","H0TX02106"
